nid,iso3,toilet,sewage,sani,manny,ani,mat
762,ARG,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
762,ARG,No flush toilet,Not connected to sewage disposal system,latrine_cw,,,mb
762,ARG,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
762,ARG,NIU (not in universe),Not connected to sewage disposal system,,,,mb
762,ARG,Flush toilet,Not connected to sewage disposal system,flush_cw,,,mb
762,ARG,Unknown,Unknown,,,,mb
762,ARG,NIU (not in universe),NIU (not in universe),,,,mb
767,ARG,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
767,ARG,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
767,ARG,"Non-flush, latrine",Not connected to sewage disposal system,latrine_cw,,,mb
767,ARG,Flush toilet,Not connected to sewage disposal system,flush_cw,,,mb
767,ARG,No toilet,Not connected to sewage disposal system,open,,,mb
767,ARG,NIU (not in universe),NIU (not in universe),,,,mb
105321,ARG,Flush toilet,,flush_cw,,,mb
105321,ARG,No toilet,,open,,,mb
105321,ARG,"Non-flush, other and unspecified",,,,,mb
854,AUT,Flush toilet,,flush_cw,,,mb
854,AUT,No flush toilet,,latrine_cw,,,mb
854,AUT,NIU (not in universe),,,,,mb
859,AUT,Flush toilet,,flush_cw,,,mb
859,AUT,No flush toilet,,latrine_cw,,,mb
859,AUT,NIU (not in universe),,,,,mb
367419,BEN,no toilet,not connected to sewage disposal system,open,,,mb
367419,BEN,"non-flush, latrine",not connected to sewage disposal system,unimp,,,mb
367419,BEN,flush toilet,not connected to sewage disposal system,flush_unimp,,,mb
367419,BEN,"non-flush, latrine",connected to sewage system or septic tank,septic,,,mb
367419,BEN,flush toilet,connected to sewage system or septic tank,flush_imp_septic,,,mb
367419,BEN,unknown,unknown,,,,mb
367419,BEN,"non-flush, other and unspecified",not connected to sewage disposal system,,,,mb
367419,BEN,no toilet,connected to sewage system or septic tank,septic,,,mb
367419,BEN,"non-flush, other and unspecified",connected to sewage system or septic tank,septic,,,mb
105389,BFA,No toilet,Not connected to sewage disposal system,open,,,mb
105389,BFA,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
105389,BFA,No toilet,Septic tank (private sewage disposal),septic,,,mb
105389,BFA,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
105389,BFA,"Non-flush, latrine",Septic tank (private sewage disposal),septic,,,mb
105389,BFA,Unknown,Unknown, ,,,mb
105389,BFA,"Non-flush, other and unspecified",Unknown,,,,mb
105389,BFA,Flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
105389,BFA,No toilet,Unknown,open,,,mb
105389,BFA,Unknown,Not connected to sewage disposal system,,,,mb
105389,BFA,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
105389,BFA,"Non-flush, latrine",Unknown,latrine_cw,,,mb
105389,BFA,"Non-flush, other and unspecified",Septic tank (private sewage disposal),septic,,,mb
105389,BFA,Unknown,Septic tank (private sewage disposal),septic,,,mb
105389,BFA,Flush toilet,Unknown,flush_imp,,,mb
105403,BFA,No toilet,Not connected to sewage disposal system,open,mg,ad,
105403,BFA,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
105403,BFA,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
105403,BFA,"Non-flush, latrine",Septic tank (private sewage disposal),septic,mg,ad,
105403,BFA,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,mg,ad,
105403,BFA,No toilet,Unknown,open,mg,ad,
105403,BFA,"Non-flush, latrine",Unknown,latrine_cw,mg,ad,
105403,BFA,Flush toilet,Unknown,flush_imp,mg,ad,
105403,BFA,No toilet,,open,mg,ad,
105403,BFA,"Non-flush, latrine",,latrine_cw,mg,ad,
