nid,iso3,year_start,t_type,sdg,flag_for_review,notes,concatenated,t_type_var,sewage_var,re_extraction_needed,proposed_change,sdg_logged_2019_12_19
672,AGO,2007,bucket toilet,unimp,,,,,,,,unimp
672,AGO,2007,composting toilet,imp,,,,,,,,imp
672,AGO,2007,flush - to piped sewer system,flush_imp_sewer,,,,,,,,flush_imp_sewer
672,AGO,2007,flush - to pit latrine,latrine_imp,,,,,,,,latrine_imp
672,AGO,2007,flush - to septic tank,flush_imp_septic,,,,,,,,flush_imp_septic
672,AGO,2007,flush - to somewhere else,flush_unimp,,,,,,,,flush_unimp
672,AGO,2007,hanging toilet/latrine,unimp,,,,,,,,unimp
672,AGO,2007,no facility,open,,,,,,,,open
672,AGO,2007,other,,,,,,,,,
672,AGO,2007,pit latrine - ventilated improved pit (vip),latrine_imp,,,,,,,,latrine_imp
672,AGO,2007,pit latrine - with slab,latrine_imp,,,,,,,,latrine_imp
672,AGO,2007,pit latrine - without slab / open pit,latrine_unimp,,,,,,,,latrine_unimp
687,AGO,2001,balde,unimp,,,,,,,,unimp
687,AGO,2001,"capim, mato, ar livre",open,,,,,,,,open
687,AGO,2001,com fossa septica e poco roto,septic,,,,,,,,septic
687,AGO,2001,"com fosse de esgotos (pia,sanita)",sewer,,,,,,,,sewer
687,AGO,2001,directo ao rio mar ou lago,flush_unimp,,,,,,,,flush_unimp
687,AGO,2001,latrina seca/latrina com descarga manual,latrine_unimp,,,,,,,,latrine_unimp
687,AGO,2001,outros,,,,,,,,,
687,AGO,2001,poco roto somente,latrine_imp,,,,,,,,latrine_imp
687,AGO,2001,"vala negra, aberta",latrine_unimp,,,,,,,,latrine_unimp
942,BGD,2000,hanging/open latrine,unimp,,,,,,,,unimp
942,BGD,2000,open defaecation,open,,,,,,,,open
942,BGD,2000,pit latrine,latrine_cw,,,,,,,,latrine_cw
942,BGD,2000,water seal latrine,latrine_cw,,,,,,,,latrine_cw
951,BGD,2006,bucket,unimp,,,,,,,,unimp
951,BGD,2006,flush to piped sewer system,flush_imp_sewer,,,,,,,,flush_imp_sewer
951,BGD,2006,flush to pit (latrine),latrine_imp,,,,,,,,latrine_imp
951,BGD,2006,flush to septic tank,flush_imp_septic,,,,,,,,flush_imp_septic
951,BGD,2006,flush to somewhere else,flush_unimp,,,,,,,,flush_unimp
951,BGD,2006,flush to unknown place/not sure/dk where,flush_imp,,,,,,,,flush_imp
951,BGD,2006,hanging toilet/hanging latrine,unimp,,,,,,,,unimp
951,BGD,2006,missing,,,,,,,,,
951,BGD,2006,no facilities or bush or field,open,,,,,,,,open
951,BGD,2006,other,,,,,,,,,
951,BGD,2006,pit latrine with slab,latrine_imp,,,,,,,,latrine_imp
951,BGD,2006,pit latrine without slab/open pit,latrine_unimp,,,,,,,,latrine_unimp
1089,BLZ,2006,bucket,unimp,,,,,,,,unimp
1089,BLZ,2006,composting toilet,imp,,,,,,,,imp
1089,BLZ,2006,flush to piped sewer system,flush_imp_sewer,,,,,,,,flush_imp_sewer
1089,BLZ,2006,flush to pit (latrine),latrine_imp,,,,,,,,latrine_imp
1089,BLZ,2006,flush to septic tank,flush_imp_septic,,,,,,,,flush_imp_septic
1089,BLZ,2006,hanging toilet/hanging latrine,unimp,,,,,,,,unimp
1089,BLZ,2006,no facilities or bush or field,open,,,,,,,,open
1089,BLZ,2006,other,,,,,,,,,
1089,BLZ,2006,pit latrine with slab,latrine_imp,,,,,,,,latrine_imp
1089,BLZ,2006,pit latrine without slab/open pit,latrine_unimp,,,,,,,,latrine_unimp
1089,BLZ,2006,ventilated improved pit latrine (vip),latrine_imp,,,,,,,,latrine_imp
1175,BTN,2005,independent flush toilet inside house,flush_cw,,,,,,,,flush_cw
1175,BTN,2005,independent flush toilet outside house,flush_cw,,,,,,,,flush_cw
1175,BTN,2005,long drop latrine inside house,latrine_cw,,,,,,,,latrine_cw
1175,BTN,2005,no toilet facility,open,,,,,,,,open
1175,BTN,2005,others,,,,,,,,,
1175,BTN,2005,pit latrine,latrine_cw,,,,,,,,latrine_cw
1175,BTN,2005,shared flush toilet outsids house,flush_cw,,,,,,,,flush_cw
1175,BTN,2005,vidp latrine outsids house,flush_cw,,,,,,,,flush_cw
1245,BOL,2000,no tiene bano,open,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,open
1245,BOL,2000,tiene bano a la superficie (calle/quebrada/rio),flush_unimp,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,flush_unimp
1245,BOL,2000,tiene bano a un pozo ciego,latrine_imp,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,latrine_imp
1245,BOL,2000,tiene bano a una cámara séptica,septic,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,septic
1245,BOL,2000,tiene bano al alcantarillado,sewer,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,sewer
1259,BOL,2001,"no tiene bano, water o letrina",open,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,open
1259,BOL,2001,"tiene bano, water o letrina a la superficie (calle/quebrada/rio)",flush_unimp,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,flush_unimp
1259,BOL,2001,"tiene bano, water o letrina a un pozo ciego",latrine_imp,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,latrine_imp
1259,BOL,2001,"tiene bano, water o letrina a una cámara séptica",septic,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,septic
1259,BOL,2001,"tiene bano, water o letrina al alcantarillado",sewer,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,sewer
1278,BOL,2002,"no tiene bano, water o letrina",open,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,open
1278,BOL,2002,"tiene bano, water o letrina a la superficie (calle/quebrada/rio)",flush_unimp,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,flush_unimp
1278,BOL,2002,"tiene bano, water o letrina a un pozo ciego",latrine_imp,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,latrine_imp
1278,BOL,2002,"tiene bano, water o letrina a una cámara séptica",septic,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,septic
1278,BOL,2002,"tiene bano, water o letrina al alcantarillado",sewer,,,1,"Do you have a toilet, water o latrine?","The toilet, water or latrine has drainage to:",,,sewer
1289,BOL,2000,bacin,unimp,,,,,,,,unimp
1289,BOL,2000,flush to sewage system or septic tank,flush_imp_septic,,,,,,,,flush_imp_septic
1289,BOL,2000,improved pit latrine (vip),latrine_imp,,,,,,,,latrine_imp
1289,BOL,2000,no tiene sanitario o matooral o campo,open,,,,,,,,open
1289,BOL,2000,otro,,,,,,,,,
1289,BOL,2000,pour flush latrine (water seal type),latrine_cw,,,,,,,,latrine_cw
1289,BOL,2000,traditional pit latrine,latrine_cw,,,,,,,,latrine_cw
1404,BWA,2000,bush,open,,,,,,,,open
1404,BWA,2000,communal flush toilet,flush_cw,,,,,,,,flush_cw
1404,BWA,2000,communal pit latrine,latrine_cw,,,,,,,,latrine_cw
1404,BWA,2000,neighbor's pit latrine,latrine_cw,,,,,,,,latrine_cw
1404,BWA,2000,nieghbor's flush toilet,flush_cw,,,,,,,,flush_cw
1404,BWA,2000,own flush toilet,flush_cw,,,,,,,,flush_cw
1404,BWA,2000,own pit latrine,latrine_cw,,,,,,,,latrine_cw
1404,BWA,2000,pail/bucket latrine,unimp,,,,,,,,unimp
1477,BRA,2001,there is a toilet or latrine in this residence or property,flush_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_cw
1477,BRA,2001,"there is a toilet or latrine in this residence or property direto para a rio, lago our mar",flush_unimp,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_unimp
1477,BRA,2001,there is a toilet or latrine in this residence or property fossa rudimentar,latrine_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,latrine_cw
1477,BRA,2001,there is a toilet or latrine in this residence or property fossa septica ligada a rede coletora de esgoto ou pluvial,septic,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,septic
1477,BRA,2001,there is a toilet or latrine in this residence or property fossa septica nao ligada a rede coletora de esgoto ou pluvial,septic,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,septic
1477,BRA,2001,there is a toilet or latrine in this residence or property outra forma (especifique),flush_unimp,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_unimp
1477,BRA,2001,there is a toilet or latrine in this residence or property rede coletora de esgoto ou pluvial,sewer,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,sewer
1477,BRA,2001,there is a toilet or latrine in this residence or property vala,latrine_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,latrine_cw
1477,BRA,2001,there is not a toilet or latrine in this residence or property,open,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,open
1488,BRA,2002,there is a toilet or latrine in this residence or property,flush_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_cw
1488,BRA,2002,"there is a toilet or latrine in this residence or property direto para a rio, lago our mar",flush_unimp,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_unimp
1488,BRA,2002,there is a toilet or latrine in this residence or property fossa rudimentar,latrine_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,latrine_cw
1488,BRA,2002,there is a toilet or latrine in this residence or property fossa septica ligada a rede coletora de esgoto ou pluvial,septic,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,septic
1488,BRA,2002,there is a toilet or latrine in this residence or property fossa septica nao ligada a rede coletora de esgoto ou pluvial,septic,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,septic
1488,BRA,2002,there is a toilet or latrine in this residence or property outra forma (especifique),flush_unimp,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_unimp
1488,BRA,2002,there is a toilet or latrine in this residence or property rede coletora de esgoto ou pluvial,sewer,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,sewer
1488,BRA,2002,there is a toilet or latrine in this residence or property vala,latrine_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,latrine_cw
1488,BRA,2002,there is not a toilet or latrine in this residence or property,open,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,open
1489,BRA,2003,there is a toilet or latrine in this residence or property,flush_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_cw
1489,BRA,2003,"there is a toilet or latrine in this residence or property direto para a rio, lago our mar",flush_unimp,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_unimp
1489,BRA,2003,there is a toilet or latrine in this residence or property fossa rudimentar,latrine_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,latrine_cw
1489,BRA,2003,there is a toilet or latrine in this residence or property fossa septica ligada a rede coletora de esgoto ou pluvial,septic,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,septic
1489,BRA,2003,there is a toilet or latrine in this residence or property fossa septica nao ligada a rede coletora de esgoto ou pluvial,septic,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,septic
1489,BRA,2003,there is a toilet or latrine in this residence or property outra forma (especifique),flush_unimp,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_unimp
1489,BRA,2003,there is a toilet or latrine in this residence or property rede coletora de esgoto ou pluvial,sewer,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,sewer
1489,BRA,2003,there is a toilet or latrine in this residence or property vala,latrine_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,latrine_cw
1489,BRA,2003,there is not a toilet or latrine in this residence or property,open,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,open
1490,BRA,2004,there is a toilet or latrine in this residence or property,flush_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_cw
1490,BRA,2004,"there is a toilet or latrine in this residence or property direto para a rio, lago our mar",flush_unimp,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_unimp
1490,BRA,2004,there is a toilet or latrine in this residence or property fossa rudimentar,latrine_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,latrine_cw
1490,BRA,2004,there is a toilet or latrine in this residence or property fossa septica ligada a rede coletora de esgoto ou pluvial,septic,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,septic
1490,BRA,2004,there is a toilet or latrine in this residence or property fossa septica nao ligada a rede coletora de esgoto ou pluvial,septic,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,septic
1490,BRA,2004,there is a toilet or latrine in this residence or property outra forma (especifique),flush_unimp,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,flush_unimp
1490,BRA,2004,there is a toilet or latrine in this residence or property rede coletora de esgoto ou pluvial,sewer,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,sewer
1490,BRA,2004,there is a toilet or latrine in this residence or property vala,latrine_cw,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,latrine_cw
1490,BRA,2004,there is not a toilet or latrine in this residence or property,open,,,1,household has a bathroom (Y/N),"sewage treatment (sewage system, holding tank, etc.)",,,open
1855,BFA,2003,autre,,,,,,,,,
1855,BFA,2003,chasse d'eau avec fosse septique,flush_imp_septic,,,,,,,,flush_imp_septic
1855,BFA,2003,dans la nature,open,,,,,,,,open
1855,BFA,2003,latrines a fosse ventillee,latrine_imp,,,,,,,,latrine_imp
1855,BFA,2003,latrines ordinaires,latrine_cw,,,,,,,,latrine_cw
1927,BFA,2006,autres,,,,,,,,,
1927,BFA,2006,chasse branchee a fosse septique,flush_imp_septic,,,,,,,,flush_imp_septic
1927,BFA,2006,chasse branchee a latrines,latrine_imp,,,,,,,,latrine_imp
1927,BFA,2006,latrines a fosses/trou ouvert,latrine_unimp,,,,,,,,latrine_unimp
1927,BFA,2006,latrines ameliorees auto aerees (laa),latrine_imp,,,,,,,,latrine_imp
1927,BFA,2006,latrines couvertes,latrine_imp,,,,,,,,latrine_imp
1927,BFA,2006,manquant,,,,,,,,,
1927,BFA,2006,pas de toilettes ou brousse ou champ,open,,,,,,,,open
1994,BDI,2000,bucket,unimp,,,,,,,,unimp
1994,BDI,2000,flush to sewage system/septic tank,flush_imp_septic,,,,,,,,flush_imp_septic
1994,BDI,2000,improved pit latrine,latrine_imp,,,,,,,,latrine_imp
1994,BDI,2000,no facilities/bush/field,open,,,,,,,,open
1994,BDI,2000,open pit,latrine_unimp,,,,,,,,latrine_unimp
1994,BDI,2000,other,,,,,,,,,
1994,BDI,2000,pour flush latrine,latrine_cw,,,,,,,,latrine_cw
1994,BDI,2000,traditional pit latrine,latrine_cw,,,,,,,,latrine_cw
2039,CMR,2001,autre,,,,,,,,,
2039,CMR,2001,latrine amenagee,latrine_cw,,,,,,,,latrine_cw
2039,CMR,2001,latrine non amenagee,latrine_cw,,,,,,,,latrine_cw
2039,CMR,2001,pas de wc,open,,,,,,,,open
2039,CMR,2001,wc avec chasse eau,flush_cw,,,,,,,,flush_cw
2053,CMR,2000,autres,,,,,,,,,
2053,CMR,2000,chasse eau avec egouts ou fosse,flush_cw,,flush with sewers or pit,,,,,,flush_cw
2053,CMR,2000,latrines ameliorees a ventilation,latrine_imp,,,,,,,,latrine_imp
2053,CMR,2000,latrines evacuation,latrine_cw,,,,,,,,latrine_cw
2053,CMR,2000,latrines traditionelles,latrine_cw,,,,,,,,latrine_cw
2053,CMR,2000,pas de toilettes/brousse,open,,,,,,,,open
2053,CMR,2000,trou ouvert,latrine_unimp,,,,,,,,latrine_unimp
2063,CMR,2006,autres,,,,,,,,,
