nid,iso3,year_start,w_source_drink,sdg,jmp
672,AGO,2007,bottled water,bottled,basic
672,AGO,2007,cart with small tank,imp,basic
672,AGO,2007,piped into dwelling,piped,basic
672,AGO,2007,piped to yard/plot,piped,basic
672,AGO,2007,protected spring,spring_imp,spring_imp
672,AGO,2007,protected well,well_imp,well_imp
672,AGO,2007,public tap/standpipe,piped_imp,basic
672,AGO,2007,rainwater,imp,basic
672,AGO,2007,river/dam/lake/ponds/stream/canal/irirgation channel,surface,surface
672,AGO,2007,tanker truck,imp,basic
672,AGO,2007,tube well or borehole,imp,basic
672,AGO,2007,unprotected spring,spring_unimp,spring_unimp
672,AGO,2007,unprotected well,well_unimp,well_unimp
687,AGO,2001,agua canalizada dentro de casa,piped,basic
687,AGO,2001,agua canalizada no quintal,piped,basic
687,AGO,2001,camião cisterna de distribuição,imp,basic
687,AGO,2001,"chafariz, fontenário",piped_imp,basic
687,AGO,2001,furo com bomba,well_cw,well_cw
687,AGO,2001,"lagoa, rio ou riacho",surface,surface
687,AGO,2001,nascente não protegido,spring_unimp,spring_unimp
687,AGO,2001,nascente protegido,spring_imp,spring_imp
687,AGO,2001,outro,,
687,AGO,2001,poço não protegido,well_unimp,well_unimp
687,AGO,2001,poço protegido,well_imp,well_imp
687,AGO,2001,rcolha de agua da chuva,imp,basic
687,AGO,2001,torneira do vizinho,piped_imp,basic
942,BGD,2000,pond/river/other,surface,surface
942,BGD,2000,tubwell/tap/ringwell,imp,basic
951,BGD,2006,bottled water,bottled,basic
951,BGD,2006,missing,,
951,BGD,2006,other,,
951,BGD,2006,piped into dwelling,piped,basic
951,BGD,2006,piped into yard or plot,piped,basic
951,BGD,2006,protected spring,spring_imp,spring_imp
951,BGD,2006,protected well,well_imp,well_imp
951,BGD,2006,public tap/standpipe,piped_imp,basic
951,BGD,2006,rainwater collection,imp,basic
951,BGD,2006,surface water,surface,surface
951,BGD,2006,tubewell/borehole,imp,basic
951,BGD,2006,unprotected spring,spring_unimp,spring_unimp
951,BGD,2006,unprotected well,well_unimp,well_unimp
1089,BLZ,2006,bottled water,bottled,basic
1089,BLZ,2006,cart with small tank/drum,imp,basic
1089,BLZ,2006,hand pump,well_cw,well_cw
1089,BLZ,2006,other,,
1089,BLZ,2006,piped into dwelling,piped,basic
1089,BLZ,2006,piped into yard or plot,piped,basic
1089,BLZ,2006,protected spring,spring_imp,spring_imp
1089,BLZ,2006,protected well,well_imp,well_imp
1089,BLZ,2006,public tap/standpipe,piped_imp,basic
1089,BLZ,2006,rainwater collection,imp,basic
1089,BLZ,2006,surface water,surface,surface
1089,BLZ,2006,unprotected spring,spring_unimp,spring_unimp
1089,BLZ,2006,unprotected well,well_unimp,well_unimp
1175,BTN,2005,others,,
1175,BTN,2005,piped water outside house,piped_cw,basic
1175,BTN,2005,piped water within house,piped,basic
1175,BTN,2005,rain water,imp,basic
1175,BTN,2005,spring/river/pond,surface,surface
1175,BTN,2005,tube well,imp,basic
1245,BOL,2000,carro repartidor (aguatero),imp,basic
1245,BOL,2000,cañería de red,piped,basic
1245,BOL,2000,"lago,laguna,curiche",surface,surface
1245,BOL,2000,otro,,
1245,BOL,2000,pileta pública,piped_imp,basic
1245,BOL,2000,pozo o noria con bomba,well_cw,well_cw
1245,BOL,2000,pozo o noria sin bomba,well_cw,well_cw
1245,BOL,2000,"río,vertiente,acequia",surface,surface
1259,BOL,2001,carro repartidor (aguatero),imp,basic
1259,BOL,2001,cañería de red,piped,basic
1259,BOL,2001,"lago,laguna,curiche",surface,surface
1259,BOL,2001,otro,,
1259,BOL,2001,pileta pública,piped_imp,basic
1259,BOL,2001,pozo o noria con bomba,well_cw,well_cw
1259,BOL,2001,pozo o noria sin bomba,well_cw,well_cw
1259,BOL,2001,"río,vertiente,acequia",surface,surface
1278,BOL,2002,carro repartidor (aguatero),imp,basic
1278,BOL,2002,cañería de red,piped,basic
1278,BOL,2002,"lago,laguna,curiche",surface,surface
1278,BOL,2002,otro,,
1278,BOL,2002,pileta pública,piped_imp,basic
1278,BOL,2002,pozo o noria con bomba,well_cw,well_cw
1278,BOL,2002,pozo o noria sin bomba,well_cw,well_cw
1278,BOL,2002,"río,vertiente,acequia",surface,surface
1289,BOL,2000,other,,
1289,BOL,2000,piped into dwelling,piped,basic
1289,BOL,2000,piped into yard or plot,piped,basic
1289,BOL,2000,"pond, river or stream",surface,surface
